Make,Model,Year,Style,Distance,Engine_capacity,Fuel_type,Transmission,Price_euro,km_year,Dis_rating,Nalog_cof,Price_Ru
Ford,Mondeo,2016,Sedan,167000.0,1500.0,Diesel,Manual,12990.0,27833.33333333333,large,0.6,810316.2000000001
Toyota,C-HR,2018,Crossover,114000.0,1800.0,Hybrid,Automatic,16750.0,28500.0,large,0.6,1044865.0
Nissan,Qashqai,2017,Crossover,157600.0,1500.0,Diesel,Manual,11990.0,31520.0,large,0.6,747936.2000000001
Toyota,Auris,2014,Universal,190000.0,1800.0,Hybrid,Automatic,8990.0,23750.0,large,0.6,560796.2000000001
Toyota,C-HR,2017,Crossover,119000.0,1800.0,Hybrid,Automatic,18790.0,23800.0,large,0.6,1172120.2
Peugeot,Rare,2018,Crossover,145000.0,1500.0,Diesel,Automatic,16790.0,36250.0,large,0.6,1047360.2000000001
Renault,Kadjar,2016,Crossover,150200.0,1500.0,Diesel,Automatic,13450.0,25033.33333333333,large,0.6,839011.0
Lexus,NX Series,2015,SUV,149000.0,2500.0,Hybrid,Automatic,21750.0,21285.714285714286,large,0.9,1356765.0
Volkswagen,Passat,2006,Sedan,216000.0,2000.0,Petrol,Automatic,5350.0,13500.0,medium,0.6,333733.0
Infiniti,Rare,2016,Crossover,88000.0,1500.0,Diesel,Automatic,15790.0,14666.666666666666,medium,0.6,984980.2000000001
Volkswagen,Passat,2007,Universal,320000.0,1600.0,Metan/Propan,Manual,5999.0,21333.33333333333,large,0.6,374217.62
Hyundai,Matrix,2006,Hatchback,298000.0,1500.0,Diesel,Manual,2999.0,18625.0,medium,0.6,187077.62
Honda,Civic,2017,Hatchback,27138.0,1500.0,Petrol,Automatic,13300.0,5427.6,low,0.6,829654.0
Renault,Kadjar,2016,Crossover,140000.0,1500.0,Diesel,Automatic,12400.0,23333.33333333333,large,0.6,773512.0
Skoda,Octavia,2012,Sedan,166000.0,1600.0,Diesel,Automatic,8990.0,16600.0,medium,0.6,560796.2000000001
Skoda,Superb,2009,Sedan,223000.0,2000.0,Diesel,Automatic,8990.0,17153.846153846152,medium,0.6,560796.2000000001
Toyota,Corolla,2006,Universal,198563.0,1400.0,Diesel,Automatic,5350.0,12410.1875,medium,0.6,333733.0
Volvo,Rare,2000,Sedan,202698.0,2800.0,Petrol,Automatic,3999.0,9213.545454545454,low,0.9,249457.62000000002
Land Rover,Freelander,2000,SUV,230000.0,2000.0,Diesel,Manual,2750.0,10454.545454545454,medium,0.6,171545.0
BMW,5 Series,2018,Sedan,82000.0,2000.0,Diesel,Automatic,34000.0,20500.0,large,0.6,2120920.0
Volkswagen,Passat,1995,Universal,250369.0,1800.0,Petrol,Manual,2700.0,9272.925925925923,low,0.6,168426.0
KIA,Rare,2005,Sedan,250632.0,2000.0,Metan/Propan,Manual,2690.0,14743.058823529413,medium,0.6,167802.2
Seat,Rare,1998,Combi,300000.0,1900.0,Diesel,Manual,1450.0,12500.0,medium,0.6,90451.0
Skoda,Fabia,2012,Minivan,165500.0,1200.0,Diesel,Manual,5100.0,16550.0,medium,0.6,318138.0
Mitsubishi,Outlander,2011,SUV,248000.0,2000.0,Petrol,Automatic,9900.0,22545.454545454544,large,0.6,617562.0
Ford,Focus,2016,Universal,170000.0,1499.0,Diesel,Manual,8890.0,28333.33333333333,large,0.6,554558.2000000001
Renault,Megane,2008,Universal,245000.0,1500.0,Diesel,Manual,3600.0,17500.0,medium,0.6,224568.0
Honda,Civic,1999,Universal,290000.0,1500.0,Petrol,Manual,1800.0,12608.695652173914,medium,0.6,112284.0
Hyundai,Tucson,2014,Crossover,120000.0,200.0,Metan/Propan,Automatic,12000.0,15000.0,medium,0.6,748560.0
Renault,Rare,2007,Sedan,211000.0,1400.0,Petrol,Manual,2900.0,14066.666666666666,medium,0.6,180902.0
Audi,A4,2012,Sedan,166700.0,2000.0,Petrol,Automatic,10200.0,16670.0,medium,0.6,636276.0
Audi,Rare,2016,Hatchback,145000.0,1400.0,Electric,Automatic,16450.0,24166.666666666668,large,0.6,1026151.0
Lexus,CT Series,2014,Sedan,81700.0,1800.0,Hybrid,Automatic,12450.0,10212.5,low,0.6,776631.0
Toyota,Auris,2013,Universal,142865.0,1400.0,Diesel,Manual,8700.0,15873.888888888889,medium,0.6,542706.0
Vaz,2107,2007,Sedan,135865.0,1400.0,Petrol,Manual,1500.0,9057.666666666666,low,0.6,93570.0
Renault,Grand Scenic,2013,Minivan,181000.0,1500.0,Diesel,Automatic,7000.0,20111.11111111111,large,0.6,436660.0
Skoda,Octavia,2014,Universal,155000.0,1400.0,Petrol,Automatic,9700.0,19375.0,large,0.6,605086.0
Skoda,Octavia,2015,Sedan,164000.0,1600.0,Diesel,Automatic,12750.0,23428.571428571428,large,0.6,795345.0
Volkswagen,Rare,2010,Coupe,150589.0,1400.0,Petrol,Manual,7999.0,12549.083333333334,medium,0.6,498977.62
Ford,Focus,2015,Universal,152523.0,1500.0,Diesel,Automatic,9300.0,21789.0,large,0.6,580134.0
Opel,Astra,2007,Universal,190000.0,1300.0,Diesel,Manual,4499.0,12666.666666666666,medium,0.6,280647.62
Toyota,Avensis,2014,Universal,165000.0,2000.0,Diesel,Manual,15600.0,20625.0,large,0.6,973128.0
BMW,7 Series,2006,Sedan,260000.0,3000.0,Diesel,Automatic,11000.0,16250.0,medium,0.9,686180.0
Toyota,Auris,2011,Hatchback,182251.0,1798.0,Hybrid,Automatic,8200.0,16568.272727272728,medium,0.6,511516.0
Fiat,Rare,2008,Hatchback,185000.0,1300.0,Diesel,Automatic,3600.0,13214.285714285714,medium,0.6,224568.0
Chevrolet,Aveo,2012,Hatchback,187000.0,1300.0,Diesel,Manual,4600.0,18700.0,medium,0.6,286948.0
Renault,Megane,2005,Sedan,190000.0,1500.0,Diesel,Manual,3200.0,11176.470588235294,medium,0.6,199616.0
Suzuki,Rare,2005,SUV,400000.0,2700.0,Petrol,Automatic,5500.0,23529.41176470588,large,0.9,343090.0
Volkswagen,Golf,2010,Hatchback,225550.0,2000.0,Petrol,Automatic,9650.0,18795.83333333333,medium,0.6,601967.0
Daewoo,Rare,2003,Hatchback,220000.0,1400.0,Petrol,Manual,2000.0,11578.947368421052,medium,0.6,124760.0
Nissan,Almera,2003,Hatchback,90000.0,1500.0,Petrol,Manual,1000.0,4736.8421052631575,low,0.6,62380.0
Renault,Grand Scenic,2013,Minivan,165000.0,1500.0,Diesel,Manual,7500.0,18333.33333333333,medium,0.6,467850.0
Honda,Rare,2018,Hatchback,36000.0,1500.0,Plug-in Hybrid,Automatic,18499.0,9000.0,low,0.6,1153967.62
Toyota,Rare,2015,Minivan,102000.0,1800.0,Petrol,Automatic,12500.0,14571.42857142857,medium,0.6,779750.0
BMW,5 Series,2004,Sedan,2899.0,2500.0,Petrol,Manual,6100.0,161.05555555555554,low,0.9,380518.0
Mitsubishi,Outlander,2003,Crossover,208367.0,2000.0,Petrol,Manual,4600.0,10966.684210526317,medium,0.6,286948.0
Volkswagen,Touran,2011,Minivan,168000.0,1400.0,Petrol,Manual,7999.0,15272.727272727272,medium,0.6,498977.62
Toyota,Rare,2019,Hatchback,2500.0,1800.0,Plug-in Hybrid,Automatic,18999.0,833.3333333333334,low,0.6,1185157.62
Volkswagen,Transporter,2004,Microvan,190000.0,1896.0,Diesel,Manual,6300.0,10555.555555555557,medium,0.6,392994.0
Skoda,Octavia,2011,Universal,210000.0,1400.0,Petrol,Manual,6400.0,19090.90909090909,large,0.6,399232.0
Lincoln,Rare,2014,Sedan,160000.0,2000.0,Hybrid,Automatic,12200.0,20000.0,large,0.6,761036.0
Renault,Scenic,2004,Universal,180000.0,1500.0,Diesel,Manual,3300.0,10000.0,low,0.6,205854.0
Mercedes,Rare,1984,Universal,100000.0,2400.0,Diesel,Manual,1000.0,2631.5789473684213,low,0.9,62380.0
Toyota,Land Cruiser Prado,2007,Crossover,202000.0,2700.0,Metan/Propan,Automatic,14600.0,13466.666666666666,medium,0.9,910748.0
Volkswagen,Polo,2017,Hatchback,170000.0,1422.0,Diesel,Manual,8200.0,34000.0,large,0.6,511516.0
Volkswagen,Jetta,2013,Sedan,198000.0,1400.0,Hybrid,Automatic,8400.0,22000.0,large,0.6,523992.0
KIA,Rio,2004,Universal,183454.0,1300.0,Petrol,Manual,2500.0,10191.888888888889,low,0.6,155950.0
BMW,X6,2013,Crossover,104000.0,2979.0,Petrol,Automatic,30900.0,11555.555555555557,medium,0.9,1927542.0
Toyota,Corolla,2006,Hatchback,119000.0,1600.0,Petrol,Automatic,5700.0,7437.5,low,0.6,355566.0
Opel,Corsa,2007,Hatchback,283000.0,1300.0,Diesel,Manual,3499.0,18866.666666666668,large,0.6,218267.62
Toyota,Auris,2017,Hatchback,146000.0,1800.0,Hybrid,Automatic,11900.0,29200.0,large,0.6,742322.0
Nissan,Qashqai,2009,Crossover,202000.0,1990.0,Petrol,Manual,7100.0,15538.46153846154,medium,0.6,442898.0
Ford,C-Max,2016,Microvan,141000.0,1500.0,Diesel,Manual,9000.0,23500.0,large,0.6,561420.0
Renault,Megane,2013,Minivan,220000.0,1500.0,Diesel,Manual,5000.0,24444.444444444445,large,0.6,311900.0
Renault,Grand Scenic,2008,Hatchback,232012.0,1500.0,Diesel,Manual,3700.0,16572.285714285714,medium,0.6,230806.0
KIA,Sorento,2018,SUV,38999.0,2000.0,Diesel,Automatic,24800.0,9749.75,low,0.6,1547024.0
Nissan,Qashqai,2014,Crossover,219000.0,1500.0,Diesel,Manual,10999.0,27375.0,large,0.6,686117.62
Land Rover,Freelander,2007,SUV,300000.0,2200.0,Diesel,Automatic,9200.0,20000.0,large,0.9,573896.0
Mazda,626,1994,Sedan,300000.0,200.0,Metan/Propan,Manual,18000.0,10714.285714285714,medium,0.6,1122840.0
Toyota,Prius,2011,Hatchback,121000.0,1800.0,Hybrid,Automatic,7900.0,11000.0,medium,0.6,492802.0
Hyundai,Matrix,2004,Universal,250000.0,1500.0,Diesel,Manual,4000.0,13888.888888888889,medium,0.6,249520.0
Toyota,Auris,2014,Universal,200000.0,1390.0,Diesel,Manual,8600.0,25000.0,large,0.6,536468.0
Audi,Q5,2013,SUV,143000.0,2000.0,Petrol,Automatic,17850.0,15888.888888888889,medium,0.6,1113483.0
Volkswagen,Caddy,2013,Universal,174000.0,2000.0,Diesel,Manual,9650.0,19333.33333333333,large,0.6,601967.0
Volkswagen,Golf,2009,Universal,200000.0,1400.0,Petrol,Manual,4800.0,15384.615384615385,medium,0.6,299424.0
