Make,Model,Year,Style,Distance,Engine_capacity,Fuel_type,Transmission,Price_euro,km_year,Dis_rating,Nalog_cof,Price_Ru
13,35,2014,3,128200.0,2200.0,0,0,17999.0,16025.0,2,0.9,1122777.62
44,130,2006,9,162000.0,2900.0,3,0,8490.0,10125.0,1,0.9,529606.2000000001
43,117,2012,6,211856.0,200.0,0,0,6000.0,21185.6,0,0.6,374280.0
43,90,1998,4,98000.0,1000.0,4,1,900.0,4083.3333333333335,1,0.6,56142.0
41,38,2015,10,73179.0,2500.0,4,0,14000.0,10454.142857142857,2,0.9,873320.0
1,15,2012,10,88000.0,3000.0,4,0,14800.0,8800.0,1,0.9,923224.0
14,133,2014,3,150300.0,2000.0,4,0,13200.0,18787.5,2,0.6,823416.0
23,48,1996,10,460000.0,2200.0,0,1,1300.0,17692.30769230769,2,0.9,81094.0
33,68,2015,3,139000.0,1461.0,0,0,12800.0,19857.14285714286,0,0.6,798464.0
28,23,2006,4,360000.0,1300.0,0,1,2999.0,22500.0,0,0.6,187077.62
43,119,2010,6,203000.0,2000.0,0,1,8250.0,16916.666666666668,2,0.6,514635.0
13,20,1996,10,325000.0,1997.0,4,1,2200.0,12500.0,2,0.6,137236.0
36,113,2014,10,202300.0,1598.0,0,0,13199.0,25287.5,0,0.6,823353.62
20,58,2005,10,230000.0,4300.0,4,0,10000.0,13529.411764705885,2,1.5,623800.0
33,80,2012,11,162200.0,1461.0,0,1,5899.0,16220.0,2,0.6,367979.62
36,85,2018,11,146600.0,1600.0,0,0,12700.0,36650.0,0,0.6,792226.0
